,0
0,terra1qqqz0ddedgke63z8xm8pqrujnxl0f9zdvus7yg
1,terra1qqqz5f2l5epfft7l08wvp8qddhtapk437fy07t
2,terra1qqqyhwh7q970w75ct3gf566en29yptyq6yhhgp
3,terra1qqqg0evmyu0utcftf99lclpfgqprkfcgue08ek
4,terra1qqqd3quektp2vvt9ypu4lg87dlkvlzvldt5k03
5,terra1qqq3fhrqe93x3evhwzwvy56d3cl8exxs7evada
6,terra1qqqngsagtvlsadlm93vdvrxz3052xwm25pzzm6
7,terra1qqqha40k49z8fjy0fhse3jsdyp8g9d4qt3uw6s
8,terra1qqqadgqkwwfqznrt3lyhf2k2q00uphq6ucjmyn
9,terra1qqpptfxrcjxr2vzna9ycrskdy9qwevn2k347dr
10,terra1qqpstkdmp679w9f4uvvwtg4d5n28suugazhhve
11,terra1qqzq5x62x2zvx626976t5pm4relnmz2hsvv9d3
12,terra1qqzt89prrrv2j2hxt5acy8k6vu6rmp0x3emyet
13,terra1qqz0ez76pj6syhrxqt2rhhkp0c3gsm9fvkljf3
14,terra1qqzs05nrcw4r5uayg98cyy2z84cr2zjmy2gqn8
15,terra1qqzmfsgrycpshg02pnlra4tfvsgk3l7wjrjy28
16,terra1qqzu5hakmxup6urzgazyuwwqalkzr68exzywl3
17,terra1qqrqtl8uvn7mfre0vxdxvczjv663zmc9q9g363
18,terra1qqrp23cgj6qrjt37utf8p78jsjp04tattphdqu
19,terra1qqry7luwu4vc9p35ceyy622ct2250ptus9jzx7
